date,date,state,fips,cases,deaths
3/7/2020,17,Washington,53,110,16
3/7/2020,17,Wisconsin,55,1,0
3/8/2020,18,Arizona,4,5,0
3/8/2020,18,California,6,112,1
3/8/2020,18,Colorado,8,8,0
3/8/2020,18,Connecticut,9,1,0
3/8/2020,18,District of Columbia,11,1,0
3/8/2020,18,Florida,12,13,2
3/8/2020,18,Georgia,13,11,0
3/8/2020,18,Hawaii,15,2,0
3/8/2020,18,Illinois,17,7,0
3/8/2020,18,Indiana,18,2,0
3/8/2020,18,Iowa,19,3,0
3/8/2020,18,Kansas,20,1,0
3/8/2020,18,Kentucky,21,4,0
3/8/2020,18,Maryland,24,5,0
3/8/2020,18,Massachusetts,25,28,0
3/8/2020,18,Minnesota,27,2,0
3/8/2020,18,Missouri,29,1,0
3/8/2020,18,Nebraska,31,16,0
3/8/2020,18,Nevada,32,4,0
3/8/2020,18,New Hampshire,33,4,0
3/8/2020,18,New Jersey,34,6,0
3/8/2020,18,New York,36,106,0
3/8/2020,18,North Carolina,37,2,0
3/8/2020,18,Oklahoma,40,1,0
3/8/2020,18,Oregon,41,13,0
3/8/2020,18,Pennsylvania,42,6,0
3/8/2020,18,Rhode Island,44,3,0
3/8/2020,18,South Carolina,45,6,0
3/8/2020,18,Tennessee,47,3,0
3/8/2020,18,Texas,48,23,0
3/8/2020,18,Utah,49,3,0
3/8/2020,18,Vermont,50,1,0
3/8/2020,18,Virginia,51,2,0
3/8/2020,18,Washington,53,141,19
3/8/2020,18,Wisconsin,55,1,0
3/9/2020,19,Arizona,4,6,0
3/9/2020,19,California,6,172,2
3/9/2020,19,Colorado,8,12,0
3/9/2020,19,Connecticut,9,2,0
3/9/2020,19,District of Columbia,11,4,0
3/9/2020,19,Florida,12,14,2
3/9/2020,19,Georgia,13,17,0
3/9/2020,19,Hawaii,15,2,0
3/9/2020,19,Illinois,17,11,0
3/9/2020,19,Indiana,18,4,0
3/9/2020,19,Iowa,19,8,0
3/9/2020,19,Kansas,20,1,0
3/9/2020,19,Kentucky,21,5,0
3/9/2020,19,Louisiana,22,1,0
3/9/2020,19,Maryland,24,6,0
3/9/2020,19,Massachusetts,25,41,0
3/9/2020,19,Minnesota,27,2,0
3/9/2020,19,Missouri,29,1,0
3/9/2020,19,Nebraska,31,16,0
3/9/2020,19,Nevada,32,4,0
3/9/2020,19,New Hampshire,33,4,0
3/9/2020,19,New Jersey,34,11,0
3/9/2020,19,New York,36,142,0
3/9/2020,19,North Carolina,37,7,0
3/9/2020,19,Ohio,39,3,0
3/9/2020,19,Oklahoma,40,1,0
3/9/2020,19,Oregon,41,13,0
3/9/2020,19,Pennsylvania,42,10,0
3/9/2020,19,Rhode Island,44,3,0
3/9/2020,19,South Carolina,45,7,0
3/9/2020,19,Tennessee,47,4,0
3/9/2020,19,Texas,48,24,0
3/9/2020,19,Utah,49,3,0
3/9/2020,19,Vermont,50,1,0
3/9/2020,19,Virginia,51,5,0
3/9/2020,19,Washington,53,179,22
3/9/2020,19,Wisconsin,55,2,0
3/10/2020,20,Arizona,4,6,0
3/10/2020,20,California,6,179,3
3/10/2020,20,Colorado,8,17,0
3/10/2020,20,Connecticut,9,2,0
3/10/2020,20,District of Columbia,11,4,0
3/10/2020,20,Florida,12,23,2
3/10/2020,20,Georgia,13,22,0
3/10/2020,20,Hawaii,15,2,0
3/10/2020,20,Illinois,17,19,0
3/10/2020,20,Indiana,18,6,0
3/10/2020,20,Iowa,19,13,0
3/10/2020,20,Kansas,20,1,0
3/10/2020,20,Kentucky,21,7,0
3/10/2020,20,Louisiana,22,6,0
3/10/2020,20,Maryland,24,9,0
3/10/2020,20,Massachusetts,25,92,0
3/10/2020,20,Michigan,26,2,0
3/10/2020,20,Minnesota,27,3,0
3/10/2020,20,Missouri,29,1,0
3/10/2020,20,Nebraska,31,17,0
3/10/2020,20,Nevada,32,4,0
3/10/2020,20,New Hampshire,33,5,0
3/10/2020,20,New Jersey,34,15,1
3/10/2020,20,New York,36,173,0
3/10/2020,20,North Carolina,37,7,0
3/10/2020,20,Ohio,39,3,0
3/10/2020,20,Oklahoma,40,2,0
3/10/2020,20,Oregon,41,14,0
3/10/2020,20,Pennsylvania,42,12,0
3/10/2020,20,Rhode Island,44,5,0
3/10/2020,20,South Carolina,45,9,0
3/10/2020,20,South Dakota,46,5,1
3/10/2020,20,Tennessee,47,7,0
3/10/2020,20,Texas,48,31,0
3/10/2020,20,Utah,49,4,0
3/10/2020,20,Vermont,50,1,0
3/10/2020,20,Virginia,51,8,0
3/10/2020,20,Washington,53,279,24
3/10/2020,20,Wisconsin,55,3,0
3/11/2020,21,Arizona,4,9,0
3/11/2020,21,Arkansas,5,1,0
3/11/2020,21,California,6,202,4
3/11/2020,21,Colorado,8,34,0
3/11/2020,21,Connecticut,9,3,0
3/11/2020,21,Delaware,10,1,0
3/11/2020,21,District of Columbia,11,10,0
3/11/2020,21,Florida,12,26,2
3/11/2020,21,Georgia,13,31,0
3/11/2020,21,Hawaii,15,2,0
3/11/2020,21,Illinois,17,25,0
3/11/2020,21,Indiana,18,11,0
3/11/2020,21,Iowa,19,14,0
3/11/2020,21,Kansas,20,1,0
3/11/2020,21,Kentucky,21,7,0
3/11/2020,21,Louisiana,22,13,0
3/11/2020,21,Maryland,24,13,0
3/11/2020,21,Massachusetts,25,95,0
3/11/2020,21,Michigan,26,2,0
3/11/2020,21,Minnesota,27,5,0
3/11/2020,21,Mississippi,28,1,0
3/11/2020,21,Missouri,29,1,0
3/11/2020,21,Nebraska,31,23,0
3/11/2020,21,Nevada,32,7,0
3/11/2020,21,New Hampshire,33,5,0
3/11/2020,21,New Jersey,34,23,1
3/11/2020,21,New Mexico,35,4,0
3/11/2020,21,New York,36,217,0
3/11/2020,21,North Carolina,37,8,0
3/11/2020,21,North Dakota,38,1,0
3/11/2020,21,Ohio,39,4,0
3/11/2020,21,Oklahoma,40,2,0
3/11/2020,21,Oregon,41,20,0
3/11/2020,21,Pennsylvania,42,16,0
3/11/2020,21,Rhode Island,44,5,0
3/11/2020,21,South Carolina,45,10,0
3/11/2020,21,South Dakota,46,8,1
3/11/2020,21,Tennessee,47,8,0
3/11/2020,21,Texas,48,33,0
3/11/2020,21,Utah,49,5,0
3/11/2020,21,Vermont,50,2,0
3/11/2020,21,Virginia,51,10,0
3/11/2020,21,Washington,53,338,29
3/11/2020,21,Wisconsin,55,6,0
3/11/2020,21,Wyoming,56,1,0
3/12/2020,22,Alaska,2,1,0
3/12/2020,22,Arizona,4,9,0
3/12/2020,22,Arkansas,5,6,0
3/12/2020,22,California,6,252,4
3/12/2020,22,Colorado,8,49,1
3/12/2020,22,Connecticut,9,6,0
3/12/2020,22,Delaware,10,4,0
3/12/2020,22,District of Columbia,11,10,0
3/12/2020,22,Florida,12,46,2
3/12/2020,22,Georgia,13,31,1
3/12/2020,22,Hawaii,15,2,0
3/12/2020,22,Illinois,17,32,0
3/12/2020,22,Indiana,18,12,0
3/12/2020,22,Iowa,19,16,0
3/12/2020,22,Kansas,20,5,1
3/12/2020,22,Kentucky,21,11,0
3/12/2020,22,Louisiana,22,14,0
3/12/2020,22,Maine,23,1,0
3/12/2020,22,Maryland,24,13,0
3/12/2020,22,Massachusetts,25,108,0
3/12/2020,22,Michigan,26,12,0
3/12/2020,22,Minnesota,27,9,0
3/12/2020,22,Mississippi,28,1,0
3/12/2020,22,Missouri,29,2,0
3/12/2020,22,Nebraska,31,24,0
3/12/2020,22,Nevada,32,11,0
3/12/2020,22,New Hampshire,33,6,0
3/12/2020,22,New Jersey,34,29,1
3/12/2020,22,New Mexico,35,6,0
3/12/2020,22,New York,36,326,0
3/12/2020,22,North Carolina,37,16,0
3/12/2020,22,North Dakota,38,1,0
3/12/2020,22,Ohio,39,5,0
3/12/2020,22,Oklahoma,40,2,0
3/12/2020,22,Oregon,41,30,0
3/12/2020,22,Pennsylvania,42,22,0
3/12/2020,22,Rhode Island,44,5,0
3/12/2020,22,South Carolina,45,12,0
3/12/2020,22,South Dakota,46,8,1
3/12/2020,22,Tennessee,47,18,0
3/12/2020,22,Texas,48,41,0
3/12/2020,22,Utah,49,7,0
3/12/2020,22,Vermont,50,2,0
3/12/2020,22,Virginia,51,17,0
3/12/2020,22,Washington,53,419,32
3/12/2020,22,Wisconsin,55,8,0
3/12/2020,22,Wyoming,56,1,0
3/13/2020,23,Alabama,1,6,0
3/13/2020,23,Alaska,2,1,0
3/13/2020,23,Arizona,4,9,0
3/13/2020,23,Arkansas,5,7,0
3/13/2020,23,California,6,320,5
3/13/2020,23,Colorado,8,78,2
3/13/2020,23,Connecticut,9,11,0
3/13/2020,23,Delaware,10,4,0
3/13/2020,23,District of Columbia,11,10,0
3/13/2020,23,Florida,12,70,2
3/13/2020,23,Georgia,13,41,1
3/13/2020,23,Hawaii,15,2,0
3/13/2020,23,Idaho,16,1,0
3/13/2020,23,Illinois,17,46,0
3/13/2020,23,Indiana,18,12,0
3/13/2020,23,Iowa,19,17,0
3/13/2020,23,Kansas,20,6,1
3/13/2020,23,Kentucky,21,11,0
3/13/2020,23,Louisiana,22,36,0
3/13/2020,23,Maine,23,2,0
3/13/2020,23,Maryland,24,18,0
3/13/2020,23,Massachusetts,25,123,0
3/13/2020,23,Michigan,26,25,0
3/13/2020,23,Minnesota,27,14,0
3/13/2020,23,Mississippi,28,6,0
3/13/2020,23,Missouri,29,4,0
3/13/2020,23,Montana,30,4,0
3/13/2020,23,Nebraska,31,27,0
3/13/2020,23,Nevada,32,19,0
3/13/2020,23,New Hampshire,33,7,0
3/13/2020,23,New Jersey,34,50,1
3/13/2020,23,New Mexico,35,10,0
3/13/2020,23,New York,36,421,0
3/13/2020,23,North Carolina,37,18,0
3/13/2020,23,North Dakota,38,1,0
3/13/2020,23,Ohio,39,13,0
3/13/2020,23,Oklahoma,40,3,0
3/13/2020,23,Oregon,41,30,0
3/13/2020,23,Pennsylvania,42,41,0
3/13/2020,23,Puerto Rico,72,3,0
3/13/2020,23,Rhode Island,44,20,0
3/13/2020,23,South Carolina,45,13,0
3/13/2020,23,South Dakota,46,9,1
3/13/2020,23,Tennessee,47,26,0
3/13/2020,23,Texas,48,58,0
3/13/2020,23,Utah,49,7,0
3/13/2020,23,Vermont,50,2,0
3/13/2020,23,Virginia,51,30,0
3/13/2020,23,Washington,53,511,37
3/13/2020,23,Wisconsin,55,19,0
3/13/2020,23,Wyoming,56,2,0
3/14/2020,24,Alabama,1,12,0
3/14/2020,24,Alaska,2,1,0
3/14/2020,24,Arizona,4,12,0
3/14/2020,24,Arkansas,5,9,0
3/14/2020,24,California,6,381,5
3/14/2020,24,Colorado,8,103,2
3/14/2020,24,Connecticut,9,20,0
3/14/2020,24,Delaware,10,4,0
3/14/2020,24,District of Columbia,11,16,0
3/14/2020,24,Florida,12,70,3
3/14/2020,24,Georgia,13,65,1
3/14/2020,24,Hawaii,15,4,0
3/14/2020,24,Idaho,16,5,0
3/14/2020,24,Illinois,17,66,0
3/14/2020,24,Indiana,18,15,0
3/14/2020,24,Iowa,19,18,0
3/14/2020,24,Kansas,20,8,1
3/14/2020,24,Kentucky,21,18,0
3/14/2020,24,Louisiana,22,77,1
3/14/2020,24,Maine,23,3,0
3/14/2020,24,Maryland,24,27,0
3/14/2020,24,Massachusetts,25,138,0
3/14/2020,24,Michigan,26,33,0
3/14/2020,24,Minnesota,27,21,0
3/14/2020,24,Mississippi,28,6,0
3/14/2020,24,Missouri,29,5,0
3/14/2020,24,Montana,30,6,0
3/14/2020,24,Nebraska,31,29,0
3/14/2020,24,Nevada,32,21,0
3/14/2020,24,New Hampshire,33,7,0
3/14/2020,24,New Jersey,34,75,2
3/14/2020,24,New Mexico,35,13,0
3/14/2020,24,New York,36,610,2
3/14/2020,24,North Carolina,37,25,0
3/14/2020,24,North Dakota,38,1,0
3/14/2020,24,Ohio,39,26,0
3/14/2020,24,Oklahoma,40,4,0
3/14/2020,24,Oregon,41,36,1
3/14/2020,24,Pennsylvania,42,47,0
3/14/2020,24,Puerto Rico,72,4,0
3/14/2020,24,Rhode Island,44,20,0
3/14/2020,24,South Carolina,45,19,0
3/14/2020,24,South Dakota,46,9,1
3/14/2020,24,Tennessee,47,32,0
3/14/2020,24,Texas,48,69,0
3/14/2020,24,Utah,49,21,0
3/14/2020,24,Vermont,50,5,0
3/14/2020,24,Virgin Islands,78,1,0
3/14/2020,24,Virginia,51,42,1
3/14/2020,24,Washington,53,609,40
3/14/2020,24,Wisconsin,55,27,0
3/14/2020,24,Wyoming,56,3,0
3/15/2020,25,Alabama,1,23,0
3/15/2020,25,Alaska,2,1,0
3/15/2020,25,Arizona,4,13,0
3/15/2020,25,Arkansas,5,16,0
3/15/2020,25,California,6,478,6
3/15/2020,25,Colorado,8,136,2
3/15/2020,25,Connecticut,9,26,0
3/15/2020,25,Delaware,10,7,0
3/15/2020,25,District of Columbia,11,17,0
3/15/2020,25,Florida,12,109,3
3/15/2020,25,Georgia,13,97,1
3/15/2020,25,Guam,66,3,0
3/15/2020,25,Hawaii,15,7,0
3/15/2020,25,Idaho,16,5,0
3/15/2020,25,Illinois,17,94,0
3/15/2020,25,Indiana,18,19,0
3/15/2020,25,Iowa,19,22,0
3/15/2020,25,Kansas,20,9,1
3/15/2020,25,Kentucky,21,21,0
3/15/2020,25,Louisiana,22,103,2
3/15/2020,25,Maine,23,12,0
3/15/2020,25,Maryland,24,32,0
3/15/2020,25,Massachusetts,25,164,0
3/15/2020,25,Michigan,26,53,0
3/15/2020,25,Minnesota,27,35,0
3/15/2020,25,Mississippi,28,10,0
3/15/2020,25,Missouri,29,5,0
3/15/2020,25,Montana,30,6,0
3/15/2020,25,Nebraska,31,31,0
3/15/2020,25,Nevada,32,26,0
3/15/2020,25,New Hampshire,33,13,0
3/15/2020,25,New Jersey,34,98,2
3/15/2020,25,New Mexico,35,17,0
3/15/2020,25,New York,36,732,6
3/15/2020,25,North Carolina,37,32,0
3/15/2020,25,North Dakota,38,1,0
3/15/2020,25,Ohio,39,37,0
3/15/2020,25,Oklahoma,40,8,0
3/15/2020,25,Oregon,41,39,1
3/15/2020,25,Pennsylvania,42,68,0
3/15/2020,25,Puerto Rico,72,5,0
3/15/2020,25,Rhode Island,44,20,0
3/15/2020,25,South Carolina,45,28,0
3/15/2020,25,South Dakota,46,9,1
3/15/2020,25,Tennessee,47,39,0
3/15/2020,25,Texas,48,80,0
3/15/2020,25,Utah,49,29,0
3/15/2020,25,Vermont,50,8,0
3/15/2020,25,Virgin Islands,78,1,0
3/15/2020,25,Virginia,51,45,1
3/15/2020,25,Washington,53,675,42
3/15/2020,25,Wisconsin,55,33,0
3/15/2020,25,Wyoming,56,3,0
3/16/2020,26,Alabama,1,29,0
3/16/2020,26,Alaska,2,3,0
3/16/2020,26,Arizona,4,18,0
3/16/2020,26,Arkansas,5,22,0
3/16/2020,26,California,6,588,11
3/16/2020,26,Colorado,8,161,2
3/16/2020,26,Connecticut,9,41,0
3/16/2020,26,Delaware,10,8,0
3/16/2020,26,District of Columbia,11,22,0
3/16/2020,26,Florida,12,141,4
3/16/2020,26,Georgia,13,118,1
3/16/2020,26,Guam,66,3,0
3/16/2020,26,Hawaii,15,10,0
3/16/2020,26,Idaho,16,5,0
3/16/2020,26,Illinois,17,104,0
3/16/2020,26,Indiana,18,24,1
3/16/2020,26,Iowa,19,22,0
3/16/2020,26,Kansas,20,11,1
3/16/2020,26,Kentucky,21,22,1
3/16/2020,26,Louisiana,22,137,3
3/16/2020,26,Maine,23,17,0
3/16/2020,26,Maryland,24,39,0
3/16/2020,26,Massachusetts,25,197,0
3/16/2020,26,Michigan,26,54,0
3/16/2020,26,Minnesota,27,54,0
3/16/2020,26,Mississippi,28,12,0
3/16/2020,26,Missouri,29,9,0
3/16/2020,26,Montana,30,8,0
3/16/2020,26,Nebraska,31,33,0
3/16/2020,26,Nevada,32,45,1
3/16/2020,26,New Hampshire,33,17,0
3/16/2020,26,New Jersey,34,176,3
3/16/2020,26,New Mexico,35,21,0
3/16/2020,26,New York,36,950,10
3/16/2020,26,North Carolina,37,34,0
3/16/2020,26,North Dakota,38,1,0
3/16/2020,26,Ohio,39,50,0
3/16/2020,26,Oklahoma,40,10,0
3/16/2020,26,Oregon,41,46,1
3/16/2020,26,Pennsylvania,42,81,0
3/16/2020,26,Puerto Rico,72,5,0
3/16/2020,26,Rhode Island,44,21,0
3/16/2020,26,South Carolina,45,33,1
3/16/2020,26,South Dakota,46,10,1
3/16/2020,26,Tennessee,47,52,0
3/16/2020,26,Texas,48,87,1
3/16/2020,26,Utah,49,40,0
3/16/2020,26,Vermont,50,12,0
3/16/2020,26,Virgin Islands,78,2,0
3/16/2020,26,Virginia,51,51,1
3/16/2020,26,Washington,53,794,48
3/16/2020,26,Wisconsin,55,47,0
3/16/2020,26,Wyoming,56,10,0
3/17/2020,27,Alabama,1,39,0
3/17/2020,27,Alaska,2,6,0
3/17/2020,27,Arizona,4,20,0
3/17/2020,27,Arkansas,5,22,0
3/17/2020,27,California,6,732,14
3/17/2020,27,Colorado,8,183,3
3/17/2020,27,Connecticut,9,68,0
3/17/2020,27,Delaware,10,16,0
3/17/2020,27,District of Columbia,11,31,0
3/17/2020,27,Florida,12,210,6
3/17/2020,27,Georgia,13,142,1
3/17/2020,27,Guam,66,3,0
3/17/2020,27,Hawaii,15,14,0
3/17/2020,27,Idaho,16,9,0
3/17/2020,27,Illinois,17,159,1
3/17/2020,27,Indiana,18,30,2
3/17/2020,27,Iowa,19,29,0
3/17/2020,27,Kansas,20,17,1
3/17/2020,27,Kentucky,21,26,1
3/17/2020,27,Louisiana,22,196,5
3/17/2020,27,Maine,23,32,0
3/17/2020,27,Maryland,24,57,0
3/17/2020,27,Massachusetts,25,218,0
3/17/2020,27,Michigan,26,65,0
3/17/2020,27,Minnesota,27,60,0
3/17/2020,27,Mississippi,28,21,0
3/17/2020,27,Missouri,29,16,0
3/17/2020,27,Montana,30,8,0
3/17/2020,27,Nebraska,31,36,0
3/17/2020,27,Nevada,32,55,1
3/17/2020,27,New Hampshire,33,26,0
3/17/2020,27,New Jersey,34,268,3
3/17/2020,27,New Mexico,35,23,0
3/17/2020,27,New York,36,1374,17
3/17/2020,27,North Carolina,37,42,0
3/17/2020,27,North Dakota,38,5,0
3/17/2020,27,Ohio,39,67,0
